=========================================================
============   QUEUEING NETWORK SIMULATOR   =============
===================   version 2.0    ====================
==================    (March 2013)    ===================
================    by Gabriel Couto    =================
=========================================================
=====  developed during the undergraduate class on  =====
====== Performance Evaluation of Systems (2012/2)  ======
=====      taught by Prof. Afonso Sales at          =====
======   Faculty of Informatics (FACIN/PUCRS)      ======
=========================================================
Simulation: #1
...simulating with random numbers (seed '1')...
Simulation: #2
...simulating with random numbers (seed '2')...
Simulation: #3
...simulating with random numbers (seed '3')...
Simulation: #4
...simulating with random numbers (seed '4')...
Simulation: #5
...simulating with random numbers (seed '5')...
=========================================================
=================    END OF SIMULATION   ================
=========================================================

=========================================================
======================    REPORT   ======================
=========================================================
*********************************************************
Queue:   Q1 (G/G/3/100000)
Arrival: 5.0 ... 10.0
Service: 10.0 ... 20.0
*********************************************************
   State               Time               Probability
      0              25,0000                 0,00%
      1          186158,5680                18,70%
      2          623239,6154                62,61%
      3          183936,9806                18,48%
      4            2108,6292                 0,21%

Number of losses: 0

*********************************************************
Queue:   Q2 (G/G/2/20)
Service: 30.0 ... 60.0
*********************************************************
   State               Time               Probability
      0             304,2380                 0,03%
      1             620,3510                 0,06%
      2             712,0353                 0,07%
      3             677,0002                 0,07%
      4             567,5905                 0,06%
      5             533,9300                 0,05%
      6             574,2308                 0,06%
      7             757,0888                 0,08%
      8             976,8176                 0,10%
      9            1635,8225                 0,16%
     10            3096,4813                 0,31%
     11            4722,5230                 0,47%
     12            6985,1616                 0,70%
     13           13432,3126                 1,35%
     14           21757,6249                 2,19%
     15           38605,1321                 3,88%
     16           71005,9900                 7,13%
     17          125570,1906                12,61%
     18          227477,1964                22,85%
     19          277605,0638                27,89%
     20          197852,0123                19,88%

Number of losses: 8611

*********************************************************
Queue:   Q3 (G/G/2/100000)
Service: 60.0 ... 240.0
*********************************************************
   State               Time               Probability
      0             911,7923                 0,09%
      1            1360,3266                 0,14%
      2            2208,9598                 0,22%
      3            2602,7888                 0,26%
      4            3147,6407                 0,32%
      5            3780,2378                 0,38%
      6            2431,8862                 0,24%
      7            1689,1089                 0,17%
      8            2195,2807                 0,22%
      9            2178,1878                 0,22%
     10            2366,5107                 0,24%
     11            3761,7277                 0,38%
     12            3927,7951                 0,39%
     13            3505,6274                 0,35%
     14            2331,6905                 0,23%
     15            2612,7987                 0,26%
     16            2377,6904                 0,24%
     17            1687,0683                 0,17%
     18            2077,0291                 0,21%
     19            3287,0934                 0,33%
     20            3158,7672                 0,32%
     21            2684,4096                 0,27%
     22            2741,5380                 0,28%
     23            2507,3303                 0,25%
     24            1655,9118                 0,17%
     25            1878,5828                 0,19%
     26            1031,2659                 0,10%
     27             879,3381                 0,09%
